Name,Identity,Type,Sex,Eye Color,Hair Color,Appearances,First Appearance,Studio
Batman,Bruce Wayne,Good,Male,Blue,Black,3093,1939,DC
Superman,Clark Kent,Good,Male,Blue,Black,2496,1986,DC
Green Lantern,Hal Jordan,Good,Male,Brown,Brown,1565,1959,DC
James Gordon,New Earth,Good,Male,Brown,White,1316,1987,DC
Richard Grayson,New Earth,Good,Male,Blue,Black,1237,1940,DC
Wonder Woman,Diana Prince,Good,Female,Blue,Black,1231,1941,DC
Aquaman,Arthur Curry,Good,Male,Blue,Blond,1121,1941,DC
Timothy Drake,New Earth,Good,Male,Blue,Black,1095,1989,DC
Dinah Laurel Lance,New Earth,Good,Female,Blue,Blond,1075,1969,DC
Flash,Barry Allen,Good,Male,Blue,Blond,1028,1956,DC
Alan Scott,New Earth,Good,Male,Blue,Blond,969,1940,DC
Barbara Gordon,New Earth,Good,Female,Blue,Red,951,1967,DC
Jason Garrick,New Earth,Good,Male,Blue,Brown,951,1940,DC
Lois Lane,New Earth,Good,Female,Blue,Black,934,1938,DC
Alfred Pennyworth,New Earth,Good,Male,Blue,Black,930,1943,DC
Carter Hall,New Earth,Good,Male,Blue,Brown,803,1940,DC
Kyle Rayner,New Earth,Good,Male,Green,Black,716,1994,DC
Roy Harper,New Earth,Neutral,Male,Green,Red,654,1941,DC
Kara Zor-L,Earth-Two,Good,Female,Blue,Blond,635,1976,DC
Garfield Logan,New Earth,Good,Male,Green,Green,595,1965,DC
Guy Gardner,New Earth,Good,Male,Blue,Red,593,1968,DC
Victor Stone,New Earth,Good,Male,Brown,Black,584,1980,DC
Kon-El,New Earth,Good,Male,Blue,Black,560,1993,DC
James Olsen,New Earth,Good,Male,Green,Red,557,1986,DC
John Stewart,New Earth,Good,Male,Brown,Black,549,1971,DC
Joker,New Earth,Bad,Male,Green,Green,517,1940,DC
Garth,New Earth,Good,Male,Purple,Black,487,1960,DC
Zatanna Zatara,New Earth,Good,Female,Blue,Black,439,1964,DC
Michael Jon Carter,New Earth,Good,Male,Blue,Blond,427,1986,DC
Cassandra Sandsmark,New Earth,Good,Female,Blue,Blond,423,1996,DC
